user_id,purchased_bins_cnt
1843278,5
1162286,3
1683171,2
731786,2
694366,8
1852445,2
666970,2
1005236,3
1173830,3
1122625,2
1845419,2
830690,2
1179908,2
1136784,8
204810,2
747345,3
1130902,2
1129103,3
1176758,4
1104489,2
692646,2
1134337,2
1146200,2
1148678,2
1142528,3
167981,3
185482,7
301532,2
985945,2
1143613,2
697304,2
185527,2
1004430,2
1124435,3
190140,5
1681005,2
1200585,3
1390021,6
1540404,3
202547,3
193709,3
745133,2
705924,2
426975,2
1321664,3
951322,3
1642663,3
1574343,3
1120486,3
1662082,2
702755,2
406795,2
1154956,3
960562,5
951270,7
724016,2
1134942,2
710626,3
1176772,3
1857906,2
1106420,6
595176,3
1177189,2
201631,3
723863,2
1144527,2
1099016,7
185050,7
205829,2
1104407,2
994363,2
1146585,4
1006409,2
1315153,3
222100,2
1306812,2
169905,2
1016992,5
909788,2
201141,3
424732,3
111259,2
1034390,2
683189,2
173196,2
1379930,3
1869575,2
1828452,2
716476,3
77811,2
730467,5
54956,4
1109092,2
727622,9
693182,2
1181888,2
1117493,2
1029406,2
1130429,2
937619,2
173205,4
722848,3
2069123,2
1025711,2
1079376,4
189682,3
1801018,2
798156,3
1992471,2
1053839,2
167801,2
1245027,2
1412358,2
702302,2
209675,2
738474,3
444232,3
690082,6
1164886,6
562555,2
728555,2
192630,2
1485111,2
30747,2
107964,4
188606,2
1023368,2
936320,2
1012760,2
178470,2
1736663,2
1398291,3
1546913,2
728060,2
194516,7
189699,3
207623,2
912276,2
168671,3
710218,3
1148313,2
185840,2
1000249,2
1152796,3
1752343,2
2133107,2
206880,5
1824834,2
697790,2
777170,3
1831169,2
596452,2
695268,2
1135339,2
1010783,2
178435,3
186149,2
1219940,2
184318,2
645959,2
1124631,3
1300278,2
166365,4
1050536,3
1395958,2
1150295,2
1079273,2
714063,3
183072,2
1143900,2
728451,3
1159813,2
1639166,2
986850,7
1154524,2
174837,2
910338,2
441821,3
1105396,2
711791,2
639702,3
1262691,2
749183,2
642692,2
712787,2
749954,3
187163,2
961939,2
1141425,4
720508,5
1444735,2
2066302,2
188473,2
184840,3
195272,2
1358069,4
189356,2
170367,3
1375190,2
953930,2
1149606,2
196915,3
970967,3
1140490,3
1107617,2
475713,2
725083,2
190709,4
164332,2
962362,2
1115157,4
1001807,2
1003109,4
1106061,4
1115888,3
2145011,2
1719981,2
849305,2
105287,2
713101,2
729893,3
1162817,3
1475166,2
189549,2
1526882,4
198406,3
1139097,2
191630,4
1146019,3
1793517,3
1093918,7
921069,2
2069785,2
175024,2
197514,4
743306,2
727151,2
992987,4
1236554,3
197534,2
1526803,2
1113773,2
103493,2
1035769,3
1544348,2
893080,2
670889,4
1816555,2
1023278,2
1025446,2
1139164,2
701849,5
1811857,3
690502,2
182990,4
1075810,3
1709791,2
1595747,2
1168620,6
1094263,3
1125837,2
202564,4
718279,2
174308,3
465402,5
108247,2
924698,2
1341776,2
162977,3
1156981,3
1075817,3
462671,3
104170,3
198093,3
1801651,2
1035460,3
1000134,3
1040226,2
192459,5
230020,3
1485139,2
1859419,2
638611,4
1267669,3
1373131,2
1746359,2
206321,2
1231004,2
